Occ	Fréq	CoFréq	Indice	DistMoy
Gautier	360	24	35.931	2.6666667
Charles	679	26	32.5437	0.26923078
Baudelaire	368	20	28.2772	5.85
Vigny	300	11	14.0018	3.8181818
Barbey	85	8	13.6814	2.75
Poe	191	9	12.5573	3.8888888
Leconte	225	9	11.9162	4.6666665
Flaubert	865	13	11.5127	3.7692308
Stendhal	474	10	10.4311	3.1
Notice	64	6	10.3969	1.5
Lisle	233	8	10.135	4.5
Théophile	197	7	9.0479	2.857143
Verlaine	360	8	8.649	3.0
Mallarmé	242	7	8.4292	3.4285715
Goncourt	563	9	8.4083	3.8888888
Aurevilly	71	5	8.1171	2.6
de	312874	381	7.8965	3.5984251
Edgar	178	6	7.7021	3.6666667
poète	3420	17	7.4693	3.3529413
poésies	227	6	7.0769	3.6666667
diabolisme	11	3	6.9107	0.6666667
Fleurs	63	4	6.4115	2.75
statue	160	5	6.3469	1.0
Swinburne	22	3	5.9439	2.0
Poë	34	3	5.358	3.0
imitateurs	123	4	5.2474	1.0
Lamentable	6	2	4.9088	0.5
Banville	160	4	4.7972	3.25
Isle-Adam	58	3	4.6528	3.0
Lamartine	644	6	4.4808	3.1666667
Huysmans	195	4	4.4615	1.5
,	586243	623	4.4501	3.9743178
traduction	397	5	4.4345	1.4
sur	21797	40	4.3854	3.225
hystérie	72	3	4.3707	2.3333333
Spronck	75	3	4.3176	4.0
Balzac	700	6	4.2815	2.0
disciples	244	4	4.0847	3.5
poésie	2376	10	4.0711	5.7
dépravé	16	2	4.0083	0.5
diaboliques	17	2	3.9542	2.0
fer-blanc	17	2	3.9542	0.5
mystificateur	18	2	3.9034	2.5
M	13183	27	3.902	5.0740743
traducteur	104	3	3.8953	3.0
savait	519	5	3.8897	5.6
Villiers	106	3	3.8709	3.0
chez	5412	15	3.7307	3.4666667
Théodore	124	3	3.67	5.6666665
influence	1341	7	3.5677	2.5714285
Recueil	28	2	3.5132	4.5
dandysme	29	2	3.4824	1.0
Bouilhet	31	2	3.424	1.0
empruntée	31	2	3.424	0.5
prose	684	5	3.3417	2.8
Rimbaud	39	2	3.2237	4.0
Ch	40	2	3.2017	1.5
cultivé	40	2	3.2017	1.0
racontée	40	2	3.2017	1.0
horrible	182	3	3.1837	3.6666667
dégénérés	186	3	3.1564	3.6666667
.	240210	266	3.1111	3.7593985
pervers	45	2	3.0995	3.5
1868	48	2	3.0436	3.0
Rossetti	49	2	3.0258	3.5
éprouvait	51	2	2.9912	0.0
1867	52	2	2.9744	2.5
américain	53	2	2.958	2.0
cultiver	56	2	2.9105	1.0
Mal	56	2	2.9105	2.0
veine	62	2	2.8229	1.0
ruisseau	70	2	2.7188	4.5
précurseur	72	2	2.6946	0.5
volontiers	577	4	2.6871	2.75
péché	272	3	2.6842	3.6666667
maîtres	592	4	2.647	0.75
mysticisme	281	3	2.6442	2.6666667
parnassiens	77	2	2.6372	2.0
vers	5641	13	2.6102	3.0769231
lance	83	2	2.5732	4.5
affreuse	84	2	2.563	4.5
amateurs	84	2	2.563	2.5
fantômes	84	2	2.563	4.5
facture	85	2	2.5529	1.0
signalé	87	2	2.5331	1.0
convient	318	3	2.4933	4.3333335
romantisme	657	4	2.4857	4.25
surprendre	94	2	2.4674	3.5
frères	332	3	2.4411	2.0
emprunté	97	2	2.4407	0.5
passionnément	98	2	2.432	3.5
Jules	688	4	2.415	4.25
reconnais	101	2	2.4065	1.5
bohème	102	2	2.3981	3.5
décadents	104	2	2.3817	0.5
Sainte-Beuve	704	4	2.3799	3.5
contemporains	709	4	2.3692	3.0
diminuer	107	2	2.3577	2.5
Catulle	108	2	2.3498	1.0
Mendès	110	2	2.3343	0.5
particularités	110	2	2.3343	4.5
permettent	114	2	2.3042	2.5
encore	10631	19	2.3012	4.8421054
ah	115	2	2.2968	1.5
illustration	115	2	2.2968	1.5
a	52038	66	2.2559	3.6515152
douteux	121	2	2.254	3.5
mort	2900	8	2.2438	4.0
délices	123	2	2.2403	1.5
†	125	2	2.2267	2.0
particulièrement	397	3	2.2264	1.6666666
répondent	127	2	2.2134	2.5
ajouté	128	2	2.2068	1.5
conteur	128	2	2.2068	2.5
intellectuels	130	2	2.1938	2.0
dégénéré	137	2	2.1499	1.0
eut	1295	5	2.1488	2.2
fut	4338	10	2.136	2.0
Paris	3047	8	2.1214	4.75
sincère	442	3	2.0992	2.0
Hugo	1347	5	2.0797	4.8
purs	154	2	2.0524	2.5
raconte	468	3	2.0321	0.33333334
disciple	158	2	2.0311	2.0
longtemps	1396	5	2.0176	4.8
poèmes	478	3	2.0074	4.0
