Source,Target,Type,Id,Label,Weight
moreasPremieresArmesSymbolisme1889,bourdeCourrierLitterairePoetes1885,Directed,322,,1
moreasPremieresArmesSymbolisme1889,franceVieParisSymbolisme1886,Directed,323,,1
moreasPremieresArmesSymbolisme1889,moreasDecadents1885,Directed,324,,1
moreasPremieresArmesSymbolisme1889,moreasReponse1886,Directed,325,,1
moreasPremieresArmesSymbolisme1889,moreasSymbolismeManifesteLitteraire1886,Directed,326,,1
moreasSymbolismeManifesteLitteraire1886,moreasChezMiranda1886,Directed,327,,1
franceVieParisSymbolisme1886,moreasSymbolismeManifesteLitteraire1886,Directed,328,,1
malivertSymbolistesDecadents1886,floupetteDeliquescences1885a,Directed,329,,1
malivertSymbolistesDecadents1886,moreasDecadents1885,Directed,330,,1
malivertSymbolistesDecadents1886,vignierNotesEsthetiqueSuggestion1885,Directed,331,,1
malivertSymbolistesDecadents1886,moreasChezMiranda1886,Directed,332,,1
malivertSymbolistesDecadents1886,moreasSymbolismeManifesteLitteraire1886,Directed,333,,1
malivertSymbolistesDecadents1886,ghilTraiteVerbe1886,Directed,334,,1
malivertSymbolistesDecadents1886,sarceyChronique1886,Directed,335,,1
malivertSymbolistesDecadents1886,adamPresseSymbolisme1886,Directed,336,,1
malivertSymbolistesDecadents1886,kahnReponseSymbolistes1886,Directed,337,,1
malivertSymbolistesDecadents1886,gilleRevueBibliographique1886b,Directed,338,,1
claretieVieParis1885,floupetteDeliquescences1885a,Directed,339,,1
moreasDecadents1885,bourdeCourrierLitterairePoetes1885,Directed,340,,1
bourdeCourrierLitterairePoetes1885,claretieVieParis1885,Directed,341,,1
bourdeCourrierLitterairePoetes1885,floupetteDeliquescences1885a,Directed,342,,1
bourdeCourrierLitterairePoetes1885,jourdainLoterieRouge1885,Directed,343,,1
taporaAdoreFloupette1885,floupetteDeliquescences1885a,Directed,344,,1
encreChronique1885,floupetteDeliquescences1885a,Directed,345,,1
trezenikChroniqueLutecienne1885,areneDecadents1885,Directed,346,,1
trezenikChroniqueLutecienne1885,bourdeCourrierLitterairePoetes1885,Directed,347,,1
trezenikChroniqueLutecienne1885,claretieVieParis1885,Directed,348,,1
trezenikChroniqueLutecienne1885,encreChronique1885,Directed,349,,1
trezenikChroniqueLutecienne1885,floupetteDeliquescences1885a,Directed,350,,1
trezenikChroniqueLutecienne1885,moreasDecadents1885,Directed,351,,1
areneDecadents1885,floupetteDeliquescences1885a,Directed,352,,1
areneDecadents1885,guaitaRosaMystica1885,Directed,353,,1
barresChroniqueParisienne1885,floupetteDeliquescences1885a,Directed,354,,1
h.v.PetitsEchosQuestion1885,barresChroniqueParisienne1885,Directed,355,,1
h.v.PetitsEchosQuestion1885,bourdeCourrierLitterairePoetes1885,Directed,356,,1
h.v.PetitsEchosQuestion1885,barresSensationLitteratureFolie1884,Directed,357,,1
barresSensationLitteratureFolie1884,huysmansRebours1884,Directed,358,,1
moreasReponse1885,moreasDecadents1885,Directed,359,,1
moreasReponse1885,vouziersPetiteTribune1885,Directed,360,,1
vouziersPetiteTribune1885,bourdeCourrierLitterairePoetes1885,Directed,361,,1
vouziersPetiteTribune1885,moreasDecadents1885,Directed,362,,1
JournalJournaux1885,bourdeCourrierLitterairePoetes1885,Directed,363,,1
TraversJournaux1885,bourdeCourrierLitterairePoetes1885,Directed,364,,1
simpliceEchosPartout1885,bourdeCourrierLitterairePoetes1885,Directed,365,,1
VarietesDecadents1885,bourdeCourrierLitterairePoetes1885,Directed,366,,1
trezenikChroniqueLutecienneDecadents1885,bourgetEtudesPortraitsPoesie1885,Directed,367,,1
bourgetPoesieContemporaine1885,bourgetEtudesPortraitsPoesie1885,Directed,368,,1
bourgetEtudesPortraitsPoesie1885,huysmansRebours1884,Directed,369,,1
bourgetEtudesPortraitsPoesie1885,sarrazinPoetesModernesAngleterre1885,Directed,370,,1
guaitaRosaMystica1885,barresSensationLitteratureFolie1884,Directed,371,,1
mostraillesBourdeBourdes1885,bourdeCourrierLitterairePoetes1885,Directed,372,,1
cazePoetesModernes1885,floupetteDeliquescences1885a,Directed,373,,1
cazePoetesModernes1885,bourdeCourrierLitterairePoetes1885,Directed,374,,1
cazeJeunesPoetes1885,bourdeCourrierLitterairePoetes1885,Directed,375,,1
cazeJeunesPoetes1885,guaitaRosaMystica1885,Directed,376,,1
cazeJeunesPoetes1885,moreasDecadents1885,Directed,377,,1
plowertParenthesesIncidences1886,henryIntroductionEsthetiqueScientifique1885,Directed,378,,1
plowertParenthesesIncidences1886,moreasDecadents1885,Directed,379,,1
plowertParenthesesIncidences1886,moreasSymbolismeManifesteLitteraire1886,Directed,380,,1
plowertParenthesesIncidences1886,moreasChezMiranda1886,Directed,381,,1
plowertParenthesesIncidences1886,vignierNotesEsthetiqueSuggestion1885,Directed,382,,1
vignierNotesEsthetiqueSuggestion1885,barresSensationLitteratureFolie1884,Directed,383,,1
vignierNotesEsthetiqueSuggestion1885,huysmansRebours1884,Directed,384,,1
vignierNotesEsthetiqueSuggestion1885,mallarme1885,Directed,385,,1
