Source,Target
"Adam, Paul",Entretiens politiques et littéraires
"Ajalbert, Jean",Entretiens politiques et littéraires
"Albert, Charles",Entretiens politiques et littéraires
"Albert, Henri",Entretiens politiques et littéraires
"Alberti, Konrad",Entretiens politiques et littéraires
"Marius-André, Paul",Entretiens politiques et littéraires
Anquetin,Entretiens politiques et littéraires
"Bakounine, Michel",Entretiens politiques et littéraires
"Bernard, Tristan",Entretiens politiques et littéraires
"Bigeon, Maurice",Entretiens politiques et littéraires
"Bois, Jules",Entretiens politiques et littéraires
"Bordeaux, Henri",Entretiens politiques et littéraires
"Boudard, René",Entretiens politiques et littéraires
"Carlyle, Thomas",Entretiens politiques et littéraires
"Cère, Emile",Entretiens politiques et littéraires
"Charpentier, Armand",Entretiens politiques et littéraires
"Claudel, Paul",Entretiens politiques et littéraires
"Cottinet, Emile",Entretiens politiques et littéraires
"Cousturier, Edmond",Entretiens politiques et littéraires
"Debussy, Claude",Entretiens politiques et littéraires
"Despretz, Julien",Entretiens politiques et littéraires
"Docquois, Georges",Entretiens politiques et littéraires
"Dujardin, Edouard",Entretiens politiques et littéraires
"Eekhoud, Georges",Entretiens politiques et littéraires
"Emerson, Ralph Waldo",Entretiens politiques et littéraires
"Engels, Friedrich",Entretiens politiques et littéraires
"Fabre, Gabriel",Entretiens politiques et littéraires
"Fèvre, Henri",Entretiens politiques et littéraires
"Flassan, Raxi",Entretiens politiques et littéraires
"Germain, Alphonse",Entretiens politiques et littéraires
"Gide, André",Entretiens politiques et littéraires
"Goudeau, Emile",Entretiens politiques et littéraires
"Gourmont, Remy de",Entretiens politiques et littéraires
"Grave, Jean",Entretiens politiques et littéraires
"Guéry, Louis",Entretiens politiques et littéraires
"Hamon, A.",Entretiens politiques et littéraires
"Hérold, A.-Ferdinand",Entretiens politiques et littéraires
"Kolb, Ernest",Entretiens politiques et littéraires
"Lachmann, Hedwig",Entretiens politiques et littéraires
"Laforgue, Jules",Entretiens politiques et littéraires
"Lazare, Bernard",Entretiens politiques et littéraires
"Lecomte, Georges",Entretiens politiques et littéraires
"Mallarmé, Stéphane",Entretiens politiques et littéraires
"Malo, Henri",Entretiens politiques et littéraires
"Malvost, Henri de",Entretiens politiques et littéraires
"Marx, Karl",Entretiens politiques et littéraires
"Mauclair, Camille",Entretiens politiques et littéraires
"Mazel, Henri",Entretiens politiques et littéraires
"Ménard, Louis",Entretiens politiques et littéraires
"Meunier, Dauphin",Entretiens politiques et littéraires
"Mourey, Gabriel",Entretiens politiques et littéraires
"Muhlfeld, Lucien",Entretiens politiques et littéraires
Multatuli,Entretiens politiques et littéraires
"Olin, Pierre-Marie",Entretiens politiques et littéraires
"Pilon, Edmond",Entretiens politiques et littéraires
"Proudhon, Pierre-Joseph",Entretiens politiques et littéraires
"Quillard, Pierre",Entretiens politiques et littéraires
"Randal, Théodore",Entretiens politiques et littéraires
"Reclus, Elie",Entretiens politiques et littéraires
"Reclus, Elisée",Entretiens politiques et littéraires
"Régnier, Henri de",Entretiens politiques et littéraires
Rekhoud,Entretiens politiques et littéraires
"Roberty, E. de",Entretiens politiques et littéraires
Saint-Mieux,Entretiens politiques et littéraires
Saint-Pol-Roux,Entretiens politiques et littéraires
"Saurin, Daniel",Entretiens politiques et littéraires
"Schmitt, Jean-Emmanuel",Entretiens politiques et littéraires
"Signoret, Emmanuel",Entretiens politiques et littéraires
"Sitt, O. de",Entretiens politiques et littéraires
"Sluyts, Charles",Entretiens politiques et littéraires
"Stirner, Max",Entretiens politiques et littéraires
"Thorel, Jean",Entretiens politiques et littéraires
"Valéry, Paul",Entretiens politiques et littéraires
"Vanor, Georges",Entretiens politiques et littéraires
"Veber, Pierre",Entretiens politiques et littéraires
"Verhaeren, Emile",Entretiens politiques et littéraires
"Vielé-Griffin, Francis",Entretiens politiques et littéraires
"White, J. E.",Entretiens politiques et littéraires
"Whitman, Walt",Entretiens politiques et littéraires
"Batilliat, Marcel",L'Art social
"Braisne, Henri de",L'Art social
"Brunellière, Charles",L'Art social
"Buriot, Henri",L'Art social
"Corre, Dr A.",L'Art social
"Dufour, Ernest",L'Art social
"Dutiers, Émile",L'Art social
"Espéron, Paul",L'Art social
"Eveline, Etienne",L'Art social
"Gioi, Mat",L'Art social
"Hamilo, Ludovic",L'Art social
"Hamon, A.",L'Art social
"Haulnoi, Félix",L'Art social
"Hirsch, Paul-Armand",L'Art social
"La Salle, Gabriel de",L'Art social
"Le Riche, Charles",L'Art social
"Le Rouge, Gustave",L'Art social
"Legrand, Marc",L'Art social
"Linert, Auguste",L'Art social
"Maret-Leriche, J.",L'Art social
"Morin, A.",L'Art social
"Ner, Henri",L'Art social
"Parazzoli, Maria",L'Art social
"Portal, Emile",L'Art social
"Rochel, Clément",L'Art social
"Souchet, Jules",L'Art social
Stalnoé,L'Art social
"Teneo, Martial",L'Art social
"Thebault, Eugène",L'Art social
"Veidaux, André",L'Art social
"Adam, Paul",L'Ermitage
"Ale, Georges d'",L'Ermitage
"Marius-André, Paul",L'Ermitage
"August, Karl",L'Ermitage
"Aurier, G.-Albert",L'Ermitage
"Bailly, Edmond",L'Ermitage
"Barbey d'Aurevilly, Jules",L'Ermitage
"Barrès, Maurice",L'Ermitage
"Bayle, Charles",L'Ermitage
"Bazalgette, Léon",L'Ermitage
"Beaubourg, Maurice",L'Ermitage
"Belugou, Léon",L'Ermitage
"Bérenger, Henri",L'Ermitage
"Bernard, Georges",L'Ermitage
"Bernard-Kahler, Georges",L'Ermitage
"Bierbaum, Otto-Julius",L'Ermitage
"Blanchedieu, Jacques",L'Ermitage
"Boès, Karl",L'Ermitage
"Bois, Jules",L'Ermitage
"Boissier, François",L'Ermitage
"Boix, Emile",L'Ermitage
"Bonnet des Tuves, Félix",L'Ermitage
"Bosdeveix, Eugène",L'Ermitage
"Bouchor, Maurice",L'Ermitage
"Bouyer, Raymond",L'Ermitage
"Boylesve, René",L'Ermitage
"Bressac, Henri",L'Ermitage
"Brinn'Gaubast, Louis Pilate de",L'Ermitage
"Brocelyande, Viviane de",L'Ermitage
"Cabanis, Léopold",L'Ermitage
"Carducci, Giosuè",L'Ermitage
"Carrère, Jean",L'Ermitage
"Castro, Eugenio de",L'Ermitage
"Chaigneau, Raphaël",L'Ermitage
"Cladel, Judith",L'Ermitage
"Cladel, Léon",L'Ermitage
"Cloüard, Albert",L'Ermitage
"Coulon, François",L'Ermitage
"Cros, Antoine",L'Ermitage
"Declareuil, Joseph",L'Ermitage
"Degron, Henri",L'Ermitage
"Delaroche, Achille",L'Ermitage
"Denis, Louis-Léon",L'Ermitage
"Destrem, Jean",L'Ermitage
"Devise, Fernand",L'Ermitage
"Devoluy, Pierre",L'Ermitage
"Doncieux, Georges",L'Ermitage
"Dorchain, Auguste",L'Ermitage
"Druilhet, Georges",L'Ermitage
"Ducoté, Edouard",L'Ermitage
"Dufay, Pierre",L'Ermitage
"Dumur, Louis",L'Ermitage
"Ellis, Havelock",L'Ermitage
"Eloy-Vincent, A.",L'Ermitage
"Elslander, Jean-François",L'Ermitage
"Eon, Henri",L'Ermitage
"Eyjeaux, Michel d'",L'Ermitage
"Fabre, Edmond",L'Ermitage
"Fiamingo, Joseph",L'Ermitage
"Fontainas, André",L'Ermitage
"Fort, Paul",L'Ermitage
"Fourest, Georges",L'Ermitage
Fra Diabolico,L'Ermitage
Fra Eremitano,L'Ermitage
"Friche, Frédéric",L'Ermitage
"Gachons, Andhré des",L'Ermitage
"Gachons, Jacques des",L'Ermitage
"Garschine, Vsevolod",L'Ermitage
"Gasquet, Joachim",L'Ermitage
"George, Stefan",L'Ermitage
"Germain, Alphonse",L'Ermitage
"Ghéon, Henri",L'Ermitage
"Gide, André",L'Ermitage
"Godfernaux, André",L'Ermitage
"Gomez-Carrillo, Enrique",L'Ermitage
"Gourmont, Remy de",L'Ermitage
"Griveau, Maurice",L'Ermitage
"Guérin, Alcide",L'Ermitage
"Guérin, Charles",L'Ermitage
"Hansson, Ola",L'Ermitage
"Haraucourt, Edmond",L'Ermitage
"Heredia, José-Maria de",L'Ermitage
"Hervilly, Ernest d'",L'Ermitage
"Hollande, Eugène",L'Ermitage
"Hyspa, Vincent",L'Ermitage
"Ibels, André",L'Ermitage
"Jacobsen, Jens Peter",L'Ermitage
"Jammes, Francis",L'Ermitage
"Jeantet, Félix",L'Ermitage
"Jhouney, Albert",L'Ermitage
"Jouve, Phoebus",L'Ermitage
"Keats, John",L'Ermitage
"Kedar, Louis de",L'Ermitage
"Kerdaniel, Edouard",L'Ermitage
"Klingsor, Tristan",L'Ermitage
"Kreutzberger, Maurice",L'Ermitage
"Labaume, Pierre de",L'Ermitage
"Lazare, Bernard",L'Ermitage
"Le Cardonnel, Louis",L'Ermitage
"Le Picault, Loeiz",L'Ermitage
"Le Roy, Grégoire",L'Ermitage
"Legrand, Marc",L'Ermitage
"Lemoyne, André",L'Ermitage
"L'Ermite, Pierre",L'Ermitage
"L'Ermite, Tristan",L'Ermitage
"L'Ermite, Kalophile",L'Ermitage
"Lisboa, Joao de",L'Ermitage
"Loriot, Florentin",L'Ermitage
"Louÿs, Pierre",L'Ermitage
"Lugné-Poe, A.-F.",L'Ermitage
"Maeterlinck, Maurice",L'Ermitage
"Marès, Roland de",L'Ermitage
"Marquant, Ulysse",L'Ermitage
"Maryx, Camille",L'Ermitage
"Masson, Paul",L'Ermitage
"Mauclair, Camille",L'Ermitage
"Maurras, Charles",L'Ermitage
"Mazel, Fortuné",L'Ermitage
"Mazel, Henri",L'Ermitage
"Merle, Hadrien",L'Ermitage
"Merrill, Stuart",L'Ermitage
"Meunier, Dauphin",L'Ermitage
"Michelet, Victor-Émile",L'Ermitage
"Montrueyrou, Louis",L'Ermitage
"Moréas, Jean",L'Ermitage
"Morhardt, Mathias",L'Ermitage
"Morice, Charles",L'Ermitage
"Mornand, Henri",L'Ermitage
"Muchart, Henri",L'Ermitage
"Néthy, Jean de",L'Ermitage
Nietzsche,L'Ermitage
"Nolhac, Pierre de",L'Ermitage
"Nyst, Raymond",L'Ermitage
"Olin, Pierre-Marie",L'Ermitage
"Oliveira Soares, Antonio d'",L'Ermitage
"Padoux, Georges",L'Ermitage
"Page, Paul",L'Ermitage
"Péladan, Joséphin",L'Ermitage
Petit Roy d'Annam,L'Ermitage
"Pilon, Edmond",L'Ermitage
"Poizat, Alfred",L'Ermitage
"Quillard, Pierre",L'Ermitage
Rachilde,L'Ermitage
"Rambosson, Yvanhoé",L'Ermitage
"Rebell, Hugues",L'Ermitage
"Redonnel, Paul",L'Ermitage
"Régnier, Henri de",L'Ermitage
"Remacle, Adrien",L'Ermitage
"Remouchamps, Victor",L'Ermitage
"Remy, Marcel",L'Ermitage
"Renard, Jules",L'Ermitage
"Retté, Adolphe",L'Ermitage
