Id,Label,type1,type2,author,main_author,title,publicationtitle,date,date_num,pages,issue,publisher,place,country,url,pageranks,indegree,outdegree,degree
adamPetitBottinLettres1886a,adamPetitBottinLettres1886a,Livre,Ouvrage,"Adam, Paul; Méténier, Oscar; Moréas, Jean; Fénéon, Félix","Adam, Paul",Petit Bottin des lettres et des arts (2e édition),,1886-02-22,662,,,Giraud,Paris,France,https://gallica.bnf.fr/ark:/12148/bpt6k1512329s,0.004839,1,0,1
adamPresseSymbolisme1886,adamPresseSymbolisme1886,Hebdomadaire,Petite presse,"Adam, Paul","Adam, Paul",La Presse et le Symbolisme,Le Symboliste,1886-10-07,889,1-2,1,,,France,https://gallica.bnf.fr/ark:/12148/bpt6k122664n?rk=21459;2,0.004881,4,6,10
adamSymbolisme1886,adamSymbolisme1886,Hebdomadaire,Petite presse,"Adam, Paul","Adam, Paul",Le Symbolisme,La Vogue,1886-10-04,886,397-401,12,,,France,http://www.lyriktheorie.uni-wuppertal.de/scans2/1886_adam2.pdf,0.002616,0,5,5
aJeanRichepin1886,aJeanRichepin1886,Quotidien,Grande presse,"H, A.","H, A.",M. Jean Richepin,Journal des Débats politiques et littéraires,1886-01-24,633,2,,,,France,https://www.retronews.fr/journal/journal-des-debats-politiques-et-litteraires/24-janvier-1886/134/368117/2,0.002616,0,0,0
areneDecadents1885,areneDecadents1885,Quotidien,Grande presse,"Arène, Paul","Arène, Paul",Les Décadents,Gil Blas,1885-05-17,381,1-2,,,,France,https://www.retronews.fr/journal/gil-blas/17-mai-1885/121/255443/1,0.004265,3,2,5
arsenalPourSymboliques1885,arsenalPourSymboliques1885,Hebdomadaire,Petite presse,"Arsenal, Étienne","Arsenal, Étienne",Pour les Symboliques,Lutèce,1885-02-01,276,[2],158,,,France,https://babel.hathitrust.org/cgi/pt?id=mdp.39015022181161&seq=477,0.002616,0,0,0
bajuChefsEcole1886,bajuChefsEcole1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Les Chefs d'École,Le Décadent,1886-11-06,919,1,31,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/6-novembre-1886/1257/4212087/1,0.002616,0,0,0
bajuDecadent1886,bajuDecadent1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Le Décadent,Le Décadent,1886-10-02,884,1,26,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/2-octobre-1886/1257/4212115/1,0.002616,0,2,2
bajuDecadisme1886,bajuDecadisme1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Décadisme,Le Décadent,1886-09-04,856,[2],23,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/4-septembre-1886/1257/4212125/2,0.007393,2,1,3
bajuEcoleDecadente1886,bajuEcoleDecadente1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",L'école décadente,Le Décadent,1886-09-18,870,[1],24,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/18-septembre-1886/1257/4212119/1,0.011957,3,2,5
bajuEpicerie1886,bajuEpicerie1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Épicerie,Le Décadent,1886-07-10,800,2,14,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/10-juillet-1886/1257/4212061/2,0.004664,3,1,4
bajuJournauxRevues1886,bajuJournauxRevues1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Journaux & revues,Le Décadent,1886-10-09,891,3,27,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/9-octobre-1886/1257/4212107/3,0.004839,1,4,5
bajuJournauxRevues1886a,bajuJournauxRevues1886a,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Journaux & revues,Le Décadent,1886-10-02,884,3,26,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/2-octobre-1886/1257/4212115/1,0.00393,2,3,5
bajuQuintessence1886,bajuQuintessence1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Quintessence,Le Décadent,1886-09-11,863,[1],23,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/11-septembre-1886/1257/4212121/1,0.012111,6,1,7
bajuRevueJournaux1886,bajuRevueJournaux1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Revue des journaux,Le Décadent,1886-09-25,877,[2-3],23,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/25-septembre-1886/1257/4212113/2,0.002616,0,6,6
bajuTraiteVerbe1886,bajuTraiteVerbe1886,Bimensuel,Petite presse,"Baju, Anatole","Baju, Anatole",Le Traité du Verbe,Le Décadent,1886-09-11,863,[1],23,,,France,https://www.retronews.fr/journal/le-decadent-litteraire-artistique/11-septembre-1886/1257/4212121/1,0.003889,1,1,2
barresChroniqueParisienne1885,barresChroniqueParisienne1885,Hebdomadaire,Presse intermédiaire,"Barrès, Maurice","Barrès, Maurice",Chronique parisienne,La Vie Moderne,1885-08-08,464,519,32,,,France,https://www.retronews.fr/journal/la-vie-moderne/8-aout-1885/2083/3716613/3,0.004515,3,1,4
barresEsthetiqueDemainArt1885,barresEsthetiqueDemainArt1885,Bimensuel,Petite presse,"Barrès, Maurice","Barrès, Maurice",L'esthétique de demain: L'art suggestif,De Nieuwe Gids,1885-10-01,518,140-149,,,,Pays-Bas,http://www.lyriktheorie.uni-wuppertal.de/scans2/1885_barres1.pdf,0.003728,1,4,5
barresProposRosaMystica1885,barresProposRosaMystica1885,Mensuel,Petite presse,"Barrès, Maurice","Barrès, Maurice","À propos de ""Rosa Mystica"". Causerie fantaisiste",La Minerve,1885-06-25,420,605-610,6,,,France,http://www.lyriktheorie.uni-wuppertal.de/texte/1885_barres2.html,0.002616,0,1,1
barresSensationLitteratureFolie1884,barresSensationLitteratureFolie1884,Mensuel,Petite presse,"Barrès, Maurice","Barrès, Maurice","La sensation en littérature. La folie de Charles Baudelaire (Baudelaire, Verlaine, Mallarmé, Rollinat, des Esseintes)",Les Taches d'encre,1884-11-05,188,3-26,1,,,France,https://gallica.bnf.fr/ark:/12148/bpt6k1070594w/f17.item,0.012192,3,1,4
bartEcoleDecadente1886,bartEcoleDecadente1886,Quotidien,Grande presse,"Bart, Paul de","Bart, Paul de",L'école décadente,L’Événement,1886-10-03,885,1,,,,France,https://www.retronews.fr/journal/l-evenement-1872-1956/3-octobre-1886/1787/3142727/1,0.003846,2,2,4
Bienportants1885,Bienportants1885,Hebdomadaire,Petite presse,,,Les bien-portants,L'Art Moderne,1885-09-06,493,286-288,36,,,Belgique,http://digitheque.ulb.ac.be/fr/digitheque-revues-litteraires-belges/periodiques-numerises/index.html\#c11373,0.002838,1,0,1
BienportantsSuite1885,BienportantsSuite1885,Hebdomadaire,Petite presse,,,Les bien-portants [suite],L'Art Moderne,1885-09-20,507,301-304,38,,,Belgique,http://digitheque.ulb.ac.be/fr/digitheque-revues-litteraires-belges/periodiques-numerises/index.html\#c11373,0.002838,1,0,1
blemontDeliquescencesParAdore1885,blemontDeliquescencesParAdore1885,Mensuel,Presse intermédiaire,"Blémont, Emile","Blémont, Emile","Les Déliquescences par Adoré Floupette, Poètes décadent, Lion Vanné, Byzance, 1885",Le Monde poétique,1885-06-01,396,284-285,,,,France,http://www.lyriktheorie.uni-wuppertal.de/scans2/1885_blemont1.pdf,0.002616,0,3,3
boucheronLouiseMichelDecadente1886,boucheronLouiseMichelDecadente1886,Quotidien,Grande presse,"Boucheron, Maxime","Boucheron, Maxime",Louise Michel décadente,L'Echo de Paris,1886-10-22,904,1-2,,,,France,https://www.retronews.fr/journal/l-echo-de-paris-1884-1938/22-octobre-1886/120/616299/1,0.002894,1,0,1
