Id,Label,Type
"Abadie, Michel","Abadie, Michel",Collaborateur
Abbé Jouet,Abbé Jouet,Collaborateur
"Adam, Paul","Adam, Paul",Collaborateur
"Aimel, Henri","Aimel, Henri",Collaborateur
"Ajalbert, Jean","Ajalbert, Jean",Collaborateur
"Ajy, Auguste","Ajy, Auguste",Collaborateur
"Alavaill, Justin","Alavaill, Justin",Collaborateur
"Albert, Charles","Albert, Charles",Collaborateur
"Albert, Henri","Albert, Henri",Collaborateur
"Alberti, Konrad","Alberti, Konrad",Collaborateur
"Ale, Georges d'","Ale, Georges d'",Collaborateur
"Alexander-Marius, Mme Emilie","Alexander-Marius, Mme Emilie",Collaborateur
"Alexandre, Arsène","Alexandre, Arsène",Collaborateur
"Alexis, Paul","Alexis, Paul",Collaborateur
"Anastay, Léon","Anastay, Léon",Collaborateur
"Andelles, J. H. des","Andelles, J. H. des",Collaborateur
"Anet, Claude","Anet, Claude",Collaborateur
"Anivel, C. d'","Anivel, C. d'",Collaborateur
"Annunzio, Gabriel d'","Annunzio, Gabriel d'",Collaborateur
Anquetin,Anquetin,Collaborateur
"Antéorte, Chavarche","Antéorte, Chavarche",Collaborateur
"Antoine, Jules","Antoine, Jules",Collaborateur
"Apollinaire, Guillaume","Apollinaire, Guillaume",Collaborateur
"Ardisson, Jean","Ardisson, Jean",Collaborateur
"Argus, C.-G.","Argus, C.-G.",Collaborateur
"Argyriadès, P.","Argyriadès, P.",Collaborateur
Aristophane,Aristophane,Collaborateur
"Armanieux, Marc","Armanieux, Marc",Collaborateur
"Arnauld, Michel","Arnauld, Michel",Collaborateur
"Athys, Alfred","Athys, Alfred",Collaborateur
"Audiger, F.","Audiger, F.",Collaborateur
"August, Karl","August, Karl",Collaborateur
"Aurier, G.-Albert","Aurier, G.-Albert",Collaborateur
"Auriol, George","Auriol, George",Collaborateur
"Austen, Jane","Austen, Jane",Collaborateur
Avatar,Avatar,Collaborateur
"Aviotte, L.","Aviotte, L.",Collaborateur
"Aviragnet, Onésime","Aviragnet, Onésime",Collaborateur
"Axa, Zo d'","Axa, Zo d'",Collaborateur
Aymerillot,Aymerillot,Collaborateur
B.,B.,Collaborateur
"B.P. Hasdeu, Julie","B.P. Hasdeu, Julie",Collaborateur
"Baignères, Jacques","Baignères, Jacques",Collaborateur
"Bailliot, Marcel","Bailliot, Marcel",Collaborateur
"Bailly, Edmond","Bailly, Edmond",Collaborateur
"Bakounine, Michel","Bakounine, Michel",Collaborateur
"Balluriau, Paul","Balluriau, Paul",Collaborateur
"Baragnon, Louis-N.","Baragnon, Louis-N.",Collaborateur
"Baral, Julien","Baral, Julien",Collaborateur
"Barbey d'Aurevilly, Jules","Barbey d'Aurevilly, Jules",Collaborateur
"Baret, Le Docteur L.J.E.","Baret, Le Docteur L.J.E.",Collaborateur
"Barlet, F.-Ch.","Barlet, F.-Ch.",Collaborateur
"Barrau, Auguste","Barrau, Auguste",Collaborateur
"Barrès, Maurice","Barrès, Maurice",Collaborateur
Barrias,Barrias,Collaborateur
"Barrucand, Victor","Barrucand, Victor",Collaborateur
Baruch,Baruch,Collaborateur
"Bastit, Gaston","Bastit, Gaston",Collaborateur
"Bataille, Henri","Bataille, Henri",Collaborateur
"Batilliat, Marcel","Batilliat, Marcel",Collaborateur
"Baudelaire, Charles","Baudelaire, Charles",Collaborateur
"Bayle, Charles","Bayle, Charles",Collaborateur
"Bazalgette, Léon","Bazalgette, Léon",Collaborateur
"Beaubourg, Maurice","Beaubourg, Maurice",Collaborateur
Belfort-Bax,Belfort-Bax,Collaborateur
"Belugou, Léon","Belugou, Léon",Collaborateur
"Benda, Julien","Benda, Julien",Collaborateur
"Benoit-Lévy, Jules","Benoit-Lévy, Jules",Collaborateur
"Bérenger, Henri","Bérenger, Henri",Collaborateur
"Bergame, Jean de","Bergame, Jean de",Collaborateur
"Bernard, Georges","Bernard, Georges",Collaborateur
"Bernard, Tristan","Bernard, Tristan",Collaborateur
"Bernard-Kahler, Georges","Bernard-Kahler, Georges",Collaborateur
"Bernède, Arthur","Bernède, Arthur",Collaborateur
"Bernier, Robert","Bernier, Robert",Collaborateur
"Berr, Mary","Berr, Mary",Collaborateur
"Berrichon, Paterne","Berrichon, Paterne",Collaborateur
"Berson, Henri","Berson, Henri",Collaborateur
"Bertgues, Louis","Bertgues, Louis",Collaborateur
"Berthelot, André","Berthelot, André",Collaborateur
"Bertrand, Louis","Bertrand, Louis",Collaborateur
"Bertrand, Pierre","Bertrand, Pierre",Collaborateur
"Besnard, Albert","Besnard, Albert",Collaborateur
"Besse, Louis","Besse, Louis",Collaborateur
"Bévylle, Alphonse de A. B.-L.","Bévylle, Alphonse de A. B.-L.",Collaborateur
"Bhray, Charles de","Bhray, Charles de",Collaborateur
"Bierbaum, Otto-Julius","Bierbaum, Otto-Julius",Collaborateur
"Bigeon, Maurice","Bigeon, Maurice",Collaborateur
"Bing, S.","Bing, S.",Collaborateur
"Bjornson, Bjornstjerne","Bjornson, Bjornstjerne",Collaborateur
"Blanchedieu, Jacques","Blanchedieu, Jacques",Collaborateur
"Blatin, Dr","Blatin, Dr",Collaborateur
"Blée, Catulle","Blée, Catulle",Collaborateur
"Blemont, Emile","Blemont, Emile",Collaborateur
"Bloy, Léon","Bloy, Léon",Collaborateur
"Blum, Léon","Blum, Léon",Collaborateur
"Blum, Maxime","Blum, Maxime",Collaborateur
"Bochard, L.","Bochard, L.",Collaborateur
"Boès, Karl","Boès, Karl",Collaborateur
"Boilley, Paul","Boilley, Paul",Collaborateur
"Bois, Jules","Bois, Jules",Collaborateur
"Boissier, François","Boissier, François",Collaborateur
"Boix, Emile","Boix, Emile",Collaborateur
"Bonifas, Charles","Bonifas, Charles",Collaborateur
"Bonin, Charles-Eudes","Bonin, Charles-Eudes",Collaborateur
"Bonjean, François","Bonjean, François",Collaborateur
"Bonnamour, George (Jules Couturat)","Bonnamour, George (Jules Couturat)",Collaborateur
"Bonnard, Pierre","Bonnard, Pierre",Collaborateur
"Bonner, G.","Bonner, G.",Collaborateur
"Bonneron, Geo","Bonneron, Geo",Collaborateur
"Bonnet des Tuves, Félix","Bonnet des Tuves, Félix",Collaborateur
"Bonnier, Ch.","Bonnier, Ch.",Collaborateur
"Bonnin, J.","Bonnin, J.",Collaborateur
"Bonthoux, A.","Bonthoux, A.",Collaborateur
"Bordeaux, Henri","Bordeaux, Henri",Collaborateur
"Bosdeveix, Eugène","Bosdeveix, Eugène",Collaborateur
"Bossanne, Henri","Bossanne, Henri",Collaborateur
"Boubert, Alphonse","Boubert, Alphonse",Collaborateur
"Bouchor, Maurice","Bouchor, Maurice",Collaborateur
"Boudard, René","Boudard, René",Collaborateur
"Boudier, E.","Boudier, E.",Collaborateur
"Boulenger, Marcel","Boulenger, Marcel",Collaborateur
"Bourdelle, Emile","Bourdelle, Emile",Collaborateur
"Bourdon, Georges","Bourdon, Georges",Collaborateur
"Bouret, Georges","Bouret, Georges",Collaborateur
"Bourgain, G.","Bourgain, G.",Collaborateur
"Bourget, Paul","Bourget, Paul",Collaborateur
"Bournand, François","Bournand, François",Collaborateur
"Bourson, Alexandre","Bourson, Alexandre",Collaborateur
"Boutet, Henri","Boutet, Henri",Collaborateur
"Boutin, Paul","Boutin, Paul",Collaborateur
"Boutique, Alexandre","Boutique, Alexandre",Collaborateur
"Bouyer, Raymond","Bouyer, Raymond",Collaborateur
"Boylesve, René","Boylesve, René",Collaborateur
"Boz, Pierre","Boz, Pierre",Collaborateur
"Braisne, Henri de","Braisne, Henri de",Collaborateur
"Braisnes, Henri de","Braisnes, Henri de",Collaborateur
"Brandal, Geo","Brandal, Geo",Collaborateur
Branting,Branting,Collaborateur
"Braut, Jules","Braut, Jules",Collaborateur
"Bressac, Henri","Bressac, Henri",Collaborateur
"Bretin, Horace","Bretin, Horace",Collaborateur
"Brière, Albert","Brière, Albert",Collaborateur
"Brinn'Gaubast, Louis Pilate de","Brinn'Gaubast, Louis Pilate de",Collaborateur
"Brissac, Henri","Brissac, Henri",Collaborateur
"Brocelyande, Viviane de","Brocelyande, Viviane de",Collaborateur
Brodjàga,Brodjàga,Collaborateur
"Bruant, Aristide","Bruant, Aristide",Collaborateur
"Brun, E.","Brun, E.",Collaborateur
"Bruneau, Alfred","Bruneau, Alfred",Collaborateur
"Brunellière, Charles","Brunellière, Charles",Collaborateur
"Buet, Charles","Buet, Charles",Collaborateur
"Buquet, Paul","Buquet, Paul",Collaborateur
"Buriot, Henri","Buriot, Henri",Collaborateur
"Busscher, Lucien de","Busscher, Lucien de",Collaborateur
"Busson, Daniel","Busson, Daniel",Collaborateur
"Buysse, Cyriël","Buysse, Cyriël",Collaborateur
"Byl, Arthur","Byl, Arthur",Collaborateur
C. L.,C. L.,Collaborateur
"Cabanis, Léopold","Cabanis, Léopold",Collaborateur
"Candelari, Roméo","Candelari, Roméo",Collaborateur
"Canqueteau, Joseph","Canqueteau, Joseph",Collaborateur
"Carducci, Giosuè","Carducci, Giosuè",Collaborateur
"Carlyle, Thomas","Carlyle, Thomas",Collaborateur
"Carnot, Hippolyte","Carnot, Hippolyte",Collaborateur
"Carrère, Jean","Carrère, Jean",Collaborateur
"Carrier, Olivier","Carrier, Olivier",Collaborateur
Casema‘or,Casema‘or,Collaborateur
"Castro, Eugenio de","Castro, Eugenio de",Collaborateur
Cathelinat,Cathelinat,Collaborateur
"Cazals, F.-A.","Cazals, F.-A.",Collaborateur
"Céard, Henri","Céard, Henri",Collaborateur
"Cécil, Marie","Cécil, Marie",Collaborateur
