Auteur,Nombre de revues
"Régnier, Henri de",6
"Vielé-Griffin, Francis",6
"Adam, Paul",5
"Ajalbert, Jean",5
"Bois, Jules",5
"Gourmont, Remy de",5
"Lazare, Bernard",5
"Mallarmé, Stéphane",5
"Mauclair, Camille",5
Saint-Pol-Roux,5
"Verhaeren, Emile",5
"Barrès, Maurice",4
"Ghil, René",4
"Marius-André, Paul",4
"Merrill, Stuart",4
"Moréas, Jean",4
"Quillard, Pierre",4
"Saunier, Charles",4
"Signoret, Emmanuel",4
"Vanor, Georges",4
"Verlaine, Paul",4
"Villiers de l'Isle-Adam, Auguste",4
"Albert, Henri",3
"Beaubourg, Maurice",3
"Bernard, Tristan",3
"Bonnamour, George (Jules Couturat)",3
"Braisne, Henri de",3
"Cerfberr, Anatole",3
"Cladel, Judith",3
"Cousturier, Edmond",3
"Delaroche, Achille",3
"Descaves, Lucien",3
"Docquois, Georges",3
"Dujardin, Edouard",3
"Fénéon, Félix",3
"Fèvre, Henri",3
"Germain, Alphonse",3
"Gide, André",3
"Grave, Jean",3
"Hamon, A.",3
"Hérold, A.-Ferdinand",3
"Kahn, Gustave",3
"Laforgue, Jules",3
"Le Cardonnel, Louis",3
"Lecomte, Georges",3
"Legrand, Marc",3
"Masson, Paul",3
"Meunier, Dauphin",3
"Muhlfeld, Lucien",3
"Pilon, Edmond",3
"Rebell, Hugues",3
"Redonnel, Paul",3
"Remacle, Adrien",3
"Renard, Jules",3
"Retté, Adolphe",3
"Richepin, Jean",3
"Saint-Paul, Albert",3
Stendhal,3
"Striyenski, Casimir",3
"Tailhade, Laurent",3
"Veidaux, André",3
Willy,3
"Aurier, G.-Albert",2
"Axa, Zo d'",2
"Barbey d'Aurevilly, Jules",2
"Barrucand, Victor",2
"Batilliat, Marcel",2
"Belugou, Léon",2
"Bertrand, Pierre",2
"Bloy, Léon",2
"Boès, Karl",2
"Bordeaux, Henri",2
"Bouchor, Maurice",2
"Bouyer, Raymond",2
"Brinn'Gaubast, Louis Pilate de",2
"Brocelyande, Viviane de",2
"Buet, Charles",2
C. L.,2
"Carrère, Jean",2
"Castro, Eugenio de",2
"Céard, Henri",2
"Champsaur, Félicien",2
"Christophe, Jules",2
"Cladel, Léon",2
"Clozel, J.",2
"Corbel, Henri",2
"Coulon, François",2
"Couturat, Gaston",2
"Darien, Georges",2
"Debussy, Claude",2
"Degron, Henri",2
"Dequillebecq, Léon",2
"Destrem, Jean",2
"Devoluy, Pierre",2
"Dubus, Édouard",2
"Dufay, Pierre",2
"Dumur, Louis",2
"Dutiers, Émile",2
"Duvauchel, Léon",2
"Eon, Henri",2
"Fort, Paul",2
"France, Anatole",2
"Gachons, Andhré des",2
"Gachons, Jacques des",2
"Gaud, Auguste",2
"Geffroy, Gustave",2
"Ghéon, Henri",2
"Guérin, Alcide",2
"Hansson, Ola",2
"Hennique, Léon",2
"Henri, Charles",2
"Heredia, José-Maria de",2
"Hirsch, Paul-Armand",2
"Hugo, Victor",2
"Ibels, André",2
"Ibels, Henri-Gabriel",2
"Jammes, Francis",2
"Jarry, Alfred",2
"Jhouney, Albert",2
"Jourdain, Frantz",2
"Khnopff, Georges",2
"Kreutzberger, Maurice",2
"Krysinska, Marie",2
"Lapaire, Hugues",2
"Lorrain, Jean",2
"Louÿs, Pierre",2
"Lugné-Poe, A.-F.",2
"Maçon, Pol",2
"Malquin, Ludovic",2
"Marès, Roland de",2
"Maurras, Charles",2
"Mazel, Henri",2
"Ménard, Louis",2
